list,item,breakLoc,plurality,grammaticality,cond,wavname,question,answerCorrect,answerIncorrect
list4,030T,n,p,g,crit_n_p,030_n_p_spl.wav,,,
list5,030T,n,s,u,crit_n_s,030_n_s_spl.wav,,,
list1,031T,e,p,g,crit_e_p,031_e_p_spl.wav,Who made deserved thanks?,editor,author
list2,031T,e,s,u,crit_e_s,031_e_s_spl.wav,Who made deserved thanks?,editor,author
list3,031T,l,p,g,crit_l_p,031_l_p_spl.wav,Who made deserved thanks?,editor,author
list4,031T,l,s,u,crit_l_s,031_l_s_spl.wav,Who made deserved thanks?,editor,author
list5,031T,n,p,g,crit_n_p,031_n_p_spl.wav,Who made deserved thanks?,editor,author
list6,031T,n,s,u,crit_n_s,031_n_s_spl.wav,Who made deserved thanks?,editor,author
list2,032T,e,p,g,crit_e_p,032_e_p_spl.wav,Whose confidence is boosted?,shareholders,investors
list3,032T,e,s,u,crit_e_s,032_e_s_spl.wav,Whose confidence is boosted?,shareholders,investors
list4,032T,l,p,g,crit_l_p,032_l_p_spl.wav,Whose confidence is boosted?,shareholders,investors
list5,032T,l,s,u,crit_l_s,032_l_s_spl.wav,Whose confidence is boosted?,shareholders,investors
list6,032T,n,p,g,crit_n_p,032_n_p_spl.wav,Whose confidence is boosted?,shareholders,investors
list1,032T,n,s,u,crit_n_s,032_n_s_spl.wav,Whose confidence is boosted?,shareholders,investors
list3,033T,e,p,g,crit_e_p,033_e_p_spl.wav,,,
list4,033T,e,s,u,crit_e_s,033_e_s_spl.wav,,,
list5,033T,l,p,g,crit_l_p,033_l_p_spl.wav,,,
list6,033T,l,s,u,crit_l_s,033_l_s_spl.wav,,,
list1,033T,n,p,g,crit_n_p,033_n_p_spl.wav,,,
list2,033T,n,s,u,crit_n_s,033_n_s_spl.wav,,,
list4,034T,e,p,g,crit_e_p,034_e_p_spl.wav,,,
list5,034T,e,s,u,crit_e_s,034_e_s_spl.wav,,,
list6,034T,l,p,g,crit_l_p,034_l_p_spl.wav,,,
list1,034T,l,s,u,crit_l_s,034_l_s_spl.wav,,,
list2,034T,n,p,g,crit_n_p,034_n_p_spl.wav,,,
list3,034T,n,s,u,crit_n_s,034_n_s_spl.wav,,,
list5,035T,e,p,g,crit_e_p,035_e_p_spl.wav,,,
list6,035T,e,s,u,crit_e_s,035_e_s_spl.wav,,,
list1,035T,l,p,g,crit_l_p,035_l_p_spl.wav,,,
list2,035T,l,s,u,crit_l_s,035_l_s_spl.wav,,,
list3,035T,n,p,g,crit_n_p,035_n_p_spl.wav,,,
list4,035T,n,s,u,crit_n_s,035_n_s_spl.wav,,,
list6,036T,e,p,g,crit_e_p,036_e_p_spl.wav,,,
list1,036T,e,s,u,crit_e_s,036_e_s_spl.wav,,,
list2,036T,l,p,g,crit_l_p,036_l_p_spl.wav,,,
list3,036T,l,s,u,crit_l_s,036_l_s_spl.wav,,,
list4,036T,n,p,g,crit_n_p,036_n_p_spl.wav,,,
list5,036T,n,s,u,crit_n_s,036_n_s_spl.wav,,,
list1,037T,e,p,g,crit_e_p,037_e_p_spl.wav,,,
list2,037T,e,s,u,crit_e_s,037_e_s_spl.wav,,,
list3,037T,l,p,g,crit_l_p,037_l_p_spl.wav,,,
list4,037T,l,s,u,crit_l_s,037_l_s_spl.wav,,,
list5,037T,n,p,g,crit_n_p,037_n_p_spl.wav,,,
list6,037T,n,s,u,crit_n_s,037_n_s_spl.wav,,,
list2,038T,e,p,g,crit_e_p,038_e_p_spl.wav,,,
list3,038T,e,s,u,crit_e_s,038_e_s_spl.wav,,,
list4,038T,l,p,g,crit_l_p,038_l_p_spl.wav,,,
list5,038T,l,s,u,crit_l_s,038_l_s_spl.wav,,,
list6,038T,n,p,g,crit_n_p,038_n_p_spl.wav,,,
list1,038T,n,s,u,crit_n_s,038_n_s_spl.wav,,,
list3,039T,e,p,g,crit_e_p,039_e_p_spl.wav,,,
list4,039T,e,s,u,crit_e_s,039_e_s_spl.wav,,,
list5,039T,l,p,g,crit_l_p,039_l_p_spl.wav,,,
list6,039T,l,s,u,crit_l_s,039_l_s_spl.wav,,,
list1,039T,n,p,g,crit_n_p,039_n_p_spl.wav,,,
list2,039T,n,s,u,crit_n_s,039_n_s_spl.wav,,,
list4,040T,e,p,g,crit_e_p,040_e_p_spl.wav,,,
list5,040T,e,s,u,crit_e_s,040_e_s_spl.wav,,,
list6,040T,l,p,g,crit_l_p,040_l_p_spl.wav,,,
list1,040T,l,s,u,crit_l_s,040_l_s_spl.wav,,,
list2,040T,n,p,g,crit_n_p,040_n_p_spl.wav,,,
list3,040T,n,s,u,crit_n_s,040_n_s_spl.wav,,,
list5,041T,e,p,g,crit_e_p,041_e_p_spl.wav,Who was terrified?,children,adults
list6,041T,e,s,u,crit_e_s,041_e_s_spl.wav,Who was terrified?,children,adults
list1,041T,l,p,g,crit_l_p,041_l_p_spl.wav,Who was terrified?,children,adults
list2,041T,l,s,u,crit_l_s,041_l_s_spl.wav,Who was terrified?,children,adults
list3,041T,n,p,g,crit_n_p,041_n_p_spl.wav,Who was terrified?,children,adults
list4,041T,n,s,u,crit_n_s,041_n_s_spl.wav,Who was terrified?,children,adults
list6,042T,e,p,g,crit_e_p,042_e_p_spl.wav,What channel is broadcasting?,ESPN,FOX
list1,042T,e,s,u,crit_e_s,042_e_s_spl.wav,What channel is broadcasting?,ESPN,FOX
list2,042T,l,p,g,crit_l_p,042_l_p_spl.wav,What channel is broadcasting?,ESPN,FOX
list3,042T,l,s,u,crit_l_s,042_l_s_spl.wav,What channel is broadcasting?,ESPN,FOX
list4,042T,n,p,g,crit_n_p,042_n_p_spl.wav,What channel is broadcasting?,ESPN,FOX
list5,042T,n,s,u,crit_n_s,042_n_s_spl.wav,What channel is broadcasting?,ESPN,FOX
list1,043T,e,p,g,crit_e_p,043_e_p_spl.wav,,,
list2,043T,e,s,u,crit_e_s,043_e_s_spl.wav,,,
list3,043T,l,p,g,crit_l_p,043_l_p_spl.wav,,,
list4,043T,l,s,u,crit_l_s,043_l_s_spl.wav,,,
list5,043T,n,p,g,crit_n_p,043_n_p_spl.wav,,,
list6,043T,n,s,u,crit_n_s,043_n_s_spl.wav,,,
list2,044T,e,p,g,crit_e_p,044_e_p_spl.wav,,,
list3,044T,e,s,u,crit_e_s,044_e_s_spl.wav,,,
list4,044T,l,p,g,crit_l_p,044_l_p_spl.wav,,,
list5,044T,l,s,u,crit_l_s,044_l_s_spl.wav,,,
list6,044T,n,p,g,crit_n_p,044_n_p_spl.wav,,,
list1,044T,n,s,u,crit_n_s,044_n_s_spl.wav,,,
list3,045T,e,p,g,crit_e_p,045_e_p_spl.wav,,,
list4,045T,e,s,u,crit_e_s,045_e_s_spl.wav,,,
list5,045T,l,p,g,crit_l_p,045_l_p_spl.wav,,,
list6,045T,l,s,u,crit_l_s,045_l_s_spl.wav,,,
list1,045T,n,p,g,crit_n_p,045_n_p_spl.wav,,,
list2,045T,n,s,u,crit_n_s,045_n_s_spl.wav,,,
list4,046T,e,p,g,crit_e_p,046_e_p_spl.wav,,,
list5,046T,e,s,u,crit_e_s,046_e_s_spl.wav,,,
list6,046T,l,p,g,crit_l_p,046_l_p_spl.wav,,,
list1,046T,l,s,u,crit_l_s,046_l_s_spl.wav,,,
list2,046T,n,p,g,crit_n_p,046_n_p_spl.wav,,,
list3,046T,n,s,u,crit_n_s,046_n_s_spl.wav,,,
list5,047T,e,p,g,crit_e_p,047_e_p_spl.wav,,,
list6,047T,e,s,u,crit_e_s,047_e_s_spl.wav,,,
list1,047T,l,p,g,crit_l_p,047_l_p_spl.wav,,,
list2,047T,l,s,u,crit_l_s,047_l_s_spl.wav,,,
list3,047T,n,p,g,crit_n_p,047_n_p_spl.wav,,,
list4,047T,n,s,u,crit_n_s,047_n_s_spl.wav,,,
list6,048T,e,p,g,crit_e_p,048_e_p_spl.wav,,,
list1,048T,e,s,u,crit_e_s,048_e_s_spl.wav,,,
list2,048T,l,p,g,crit_l_p,048_l_p_spl.wav,,,
list3,048T,l,s,u,crit_l_s,048_l_s_spl.wav,,,
list4,048T,n,p,g,crit_n_p,048_n_p_spl.wav,,,
list5,048T,n,s,u,crit_n_s,048_n_s_spl.wav,,,
list1,049T,e,p,g,crit_e_p,049_e_p_spl.wav,What is entering?,machinery,workers
list2,049T,e,s,u,crit_e_s,049_e_s_spl.wav,What is entering?,machinery,workers
list3,049T,l,p,g,crit_l_p,049_l_p_spl.wav,What is entering?,machinery,workers
list4,049T,l,s,u,crit_l_s,049_l_s_spl.wav,What is entering?,machinery,workers
list5,049T,n,p,g,crit_n_p,049_n_p_spl.wav,What is entering?,machinery,workers
list6,049T,n,s,u,crit_n_s,049_n_s_spl.wav,What is entering?,machinery,workers
list2,050T,e,p,g,crit_e_p,050_e_p_spl.wav,,,
list3,050T,e,s,u,crit_e_s,050_e_s_spl.wav,,,
list4,050T,l,p,g,crit_l_p,050_l_p_spl.wav,,,
list5,050T,l,s,u,crit_l_s,050_l_s_spl.wav,,,
list6,050T,n,p,g,crit_n_p,050_n_p_spl.wav,,,
list1,050T,n,s,u,crit_n_s,050_n_s_spl.wav,,,
list3,051T,e,p,g,crit_e_p,051_e_p_spl.wav,,,
list4,051T,e,s,u,crit_e_s,051_e_s_spl.wav,,,
list5,051T,l,p,g,crit_l_p,051_l_p_spl.wav,,,
list6,051T,l,s,u,crit_l_s,051_l_s_spl.wav,,,
list1,051T,n,p,g,crit_n_p,051_n_p_spl.wav,,,
list2,051T,n,s,u,crit_n_s,051_n_s_spl.wav,,,
list4,052T,e,p,g,crit_e_p,052_e_p_spl.wav,,,
list5,052T,e,s,u,crit_e_s,052_e_s_spl.wav,,,
list6,052T,l,p,g,crit_l_p,052_l_p_spl.wav,,,
list1,052T,l,s,u,crit_l_s,052_l_s_spl.wav,,,
list2,052T,n,p,g,crit_n_p,052_n_p_spl.wav,,,
list3,052T,n,s,u,crit_n_s,052_n_s_spl.wav,,,
list5,053T,e,p,g,crit_e_p,053_e_p_spl.wav,,,
list6,053T,e,s,u,crit_e_s,053_e_s_spl.wav,,,
list1,053T,l,p,g,crit_l_p,053_l_p_spl.wav,,,
list2,053T,l,s,u,crit_l_s,053_l_s_spl.wav,,,
list3,053T,n,p,g,crit_n_p,053_n_p_spl.wav,,,
list4,053T,n,s,u,crit_n_s,053_n_s_spl.wav,,,
list6,054T,e,p,g,crit_e_p,054_e_p_spl.wav,,,
list1,054T,e,s,u,crit_e_s,054_e_s_spl.wav,,,
list2,054T,l,p,g,crit_l_p,054_l_p_spl.wav,,,
list3,054T,l,s,u,crit_l_s,054_l_s_spl.wav,,,
list4,054T,n,p,g,crit_n_p,054_n_p_spl.wav,,,
list5,054T,n,s,u,crit_n_s,054_n_s_spl.wav,,,
list1,055T,e,p,g,crit_e_p,055_e_p_spl.wav,,,
list2,055T,e,s,u,crit_e_s,055_e_s_spl.wav,,,
list3,055T,l,p,g,crit_l_p,055_l_p_spl.wav,,,
list4,055T,l,s,u,crit_l_s,055_l_s_spl.wav,,,
list5,055T,n,p,g,crit_n_p,055_n_p_spl.wav,,,
list6,055T,n,s,u,crit_n_s,055_n_s_spl.wav,,,
list2,056T,e,p,g,crit_e_p,056_e_p_spl.wav,How much money was the artist going to make?,a lot,a little
list3,056T,e,s,u,crit_e_s,056_e_s_spl.wav,How much money was the artist going to make?,a lot,a little
list4,056T,l,p,g,crit_l_p,056_l_p_spl.wav,How much money was the artist going to make?,a lot,a little
list5,056T,l,s,u,crit_l_s,056_l_s_spl.wav,How much money was the artist going to make?,a lot,a little
list6,056T,n,p,g,crit_n_p,056_n_p_spl.wav,How much money was the artist going to make?,a lot,a little
list1,056T,n,s,u,crit_n_s,056_n_s_spl.wav,How much money was the artist going to make?,a lot,a little
list3,057T,e,p,g,crit_e_p,057_e_p_spl.wav,,,
list4,057T,e,s,u,crit_e_s,057_e_s_spl.wav,,,
list5,057T,l,p,g,crit_l_p,057_l_p_spl.wav,,,
list6,057T,l,s,u,crit_l_s,057_l_s_spl.wav,,,
list1,057T,n,p,g,crit_n_p,057_n_p_spl.wav,,,
list2,057T,n,s,u,crit_n_s,057_n_s_spl.wav,,,
list4,058T,e,p,g,crit_e_p,058_e_p_spl.wav,,,
list5,058T,e,s,u,crit_e_s,058_e_s_spl.wav,,,
list6,058T,l,p,g,crit_l_p,058_l_p_spl.wav,,,
list1,058T,l,s,u,crit_l_s,058_l_s_spl.wav,,,
list2,058T,n,p,g,crit_n_p,058_n_p_spl.wav,,,
list3,058T,n,s,u,crit_n_s,058_n_s_spl.wav,,,
list5,059T,e,p,g,crit_e_p,059_e_p_spl.wav,,,
list6,059T,e,s,u,crit_e_s,059_e_s_spl.wav,,,
list1,059T,l,p,g,crit_l_p,059_l_p_spl.wav,,,
list2,059T,l,s,u,crit_l_s,059_l_s_spl.wav,,,
list3,059T,n,p,g,crit_n_p,059_n_p_spl.wav,,,
list4,059T,n,s,u,crit_n_s,059_n_s_spl.wav,,,
list6,060T,e,p,g,crit_e_p,060_e_p_spl.wav,,,
list1,060T,e,s,u,crit_e_s,060_e_s_spl.wav,,,
list2,060T,l,p,g,crit_l_p,060_l_p_spl.wav,,,
list3,060T,l,s,u,crit_l_s,060_l_s_spl.wav,,,
list4,060T,n,p,g,crit_n_p,060_n_p_spl.wav,,,
list5,060T,n,s,u,crit_n_s,060_n_s_spl.wav,,,
list1,061T,l,p,g,fill_l_p,061_l_g-spl.wav,Where do the plates and bowels go?,cabinet,cupboard
list2,061T,l,p,g,,061_l_g-spl.wav,Where do the plates and bowels go?,cabinet,cupboard
list3,061T,l,p,g,,061_l_g-spl.wav,Where do the plates and bowels go?,cabinet,cupboard
list4,061T,l,p,g,,061_l_g-spl.wav,Where do the plates and bowels go?,cabinet,cupboard
list5,061T,l,p,g,,061_l_g-spl.wav,Where do the plates and bowels go?,cabinet,cupboard
list6,061T,l,p,g,,061_l_g-spl.wav,Where do the plates and bowels go?,cabinet,cupboard
list1,062T,l,p,g,,062_l_g-spl.wav,What was made?,dinner,lunch
list2,062T,l,p,g,,062_l_g-spl.wav,What was made?,dinner,lunch
list3,062T,l,p,g,,062_l_g-spl.wav,What was made?,dinner,lunch
list4,062T,l,p,g,,062_l_g-spl.wav,What was made?,dinner,lunch
list5,062T,l,p,g,,062_l_g-spl.wav,What was made?,dinner,lunch
